ID;Nazwa;SzerokoúÊ geograficzna;D≥ugoúÊ geograficzna
1;RYBNIK-STODO£Y;50 09 16;18 28 59
2;DZIWN”W;54 01 20;14 43 54
3;ZIELENIEC;50 19 48;16 23 39
4;MI DZYG”RZE;50 13 06;16 46 23
5;MI DZYLESIE;50 09 12;16 40 15
6;DOBROGOSZCZ;50 45 31;17 01 02
7;OTMUCH”W;50 28 20;17 09 59
8;DZIEWI TLICE;50 24 41;17 05 03
9;G£UCHO£AZY;50 18 08;17 23 14
10;JARNO£T”WEK;50 17 17;17 26 17
11;G£UBCZYCE;50 10 55;17 47 41
12;KRUPSKI M£YN;50 34 09;18 37 24
13;åWIERKLANIEC;50 25 44;18 56 33
14;JANUSZEWICE;50 56 31;19 57 40
15;SILNICZKA;50 55 19;19 45 32
16;TEOFIL”W;51 31 41;20 10 58
17;ELBL•G-MILEJEWO;54 13 24;19 32 37
18;WARSZOWICE;49 59 31;18 42 20
19;MAZA—COWICE;49 51 45;18 58 10
20;W£OCH”W;51 05 56;20 36 44
21;SUCHEDNI”W;51 02 59;20 49 50
22;ØARKI;50 38 24;19 22 49
23;STARACHOWICE;51 02 30;21 03 21
24;BRODY I£ØECKIE;51 01 07;21 11 49
25;RADZY— PODLASKI;51 46 09;22 36 03
26;RYCZYW”£;52 48 57;16 50 20
27;JANOWIEC WIELKOPOLSKI;52 45 17;17 27 44
28;TUREK;52 00 37;18 29 54
29;ØYCHLIN;52 14 34;19 37 23
30;BORKOWO;52 33 43;20 39 37
31;PU£TUSK;52 43 39;21 05 25
32;BRA—SK;52 44 31;22 49 35
33;TONKIELE;52 24 43;22 33 56
34;NOWOSADY;52 58 21;23 52 44
35;BONDARY;52 56 15;23 45 16
36;NAREW;52 54 53;23 31 09
37;CHRABO£Y;52 51 44;23 11 44
38;BIA£OWIEØA;52 42 26;23 50 52
39;WOLIN;53 50 15;14 36 57
40;£AB DZIE;53 39 02;15 48 33
41;LISOWO;53 25 51;15 18 05
42;ROZTOKA;49 38 25;20 23 00
43;PTASZKOWA;49 36 01;20 53 12
44;£•CKO;49 33 35;20 26 22
45;TURBACZ;49 32 41;20 07 05
46;£ABOWA;49 31 34;20 51 31
47;OCHOTNICA G”RNA;49 30 37;20 14 41
48;£OPUSZNA;49 28 27;20 07 25
49;STUDZIONKI;49 29 43;20 12 43
50;D BNO;49 27 57;20 12 34
51;HUTA;49 27 54;20 57 24
52;MIZERNA;49 27 19;20 16 55
53;KROåCIENKO;49 26 44;20 25 54
54;NIEDZICA;49 25 04;20 18 57
55;BIA£KA TATRZA—SKA;49 24 44;20 06 26
56;BUKOWINA TATRZA—SKA;49 20 15;20 05 54
57;MUSZYNA;49 20 59;20 53 11
58;£YSA POLANA;49 15 49;20 06 54
59;HALA G•SIENICOWA;49 14 38;20 00 21
60;DOLINA PI CIU STAW”W;49 12 49;20 02 52
61;PILZNO;49 59 14;21 18 30
62;ØARNOWA;49 52 40;21 48 59
63;BIECZ-GRUDNA;49 44 07;21 17 44
64;JAS£O;49 44 08;21 29 06
65;GORLICE;49 39 19;21 10 16
66;CIESZYN;49 45 15;18 38 54
67;BRENNA;49 45 13;18 52 15
68;SZCZYRK;49 42 11;18 59 41
69;CZANTORIA;49 41 00;18 49 11
70;WIS£A;49 39 17;18 51 41
71;WIS£A-MALINKA;49 38 41;18 58 03
72;ISTEBNA-KUBALONKA;49 36 13;18 54 04
73;ISTEBNA-STEC”WKA;49 35 07;18 56 25
74;LIBERT”W;49 58 21;19 53 42
75;RADZISZ”W;49 56 33;19 48 46
76;SIEPRAW;49 54 17;19 57 53
77;INWA£D;49 52 02;19 23 19
78;MI DZYBRODZIE BIALSKIE;49 47 22;19 11 46
79;LESKOWIEC;49 47 44;19 26 48
80;BOGDAN”WKA;49 45 34;19 47 17
81;MAK”W PODHALA—SKI;49 43 33;19 41 17
82;åLEMIE—;49 43 03;19 21 11
83;LACHOWICE KRALE;49 41 18;19 25 04
84;KRZECZ”W;49 41 01;19 54 36
85;KOSZARAWA;49 39 21;19 24 16
86;ZAWOJA;49 36 42;19 31 07
87;MARKOWE SZCZAWINY;49 35 15;19 30 59
88;MIL”WKA;49 33 33;19 04 46
89;SOPOTNIA WIELKA;49 34 54;19 17 58
90;KORBIEL”W;49 34 07;19 20 54
91;LALIKI;49 32 41;19 00 58
92;OBIDOWA;49 32 39;19 58 07
93;RAJCZA;49 30 22;19 06 19
94;RYCERKA G”RNA;49 25 35;19 00 30
95;RATU£”W;49 23 30;19 53 01
96;BA—SKA WYØNA;49 23 03;19 58 24
97;WIT”W;49 19 39;19 49 30
98;NOWE BYSTRE;49 19 56;19 55 45
99;KOåCIELISKO-KIRY;49 16 39;19 52 10
100;HALA ORNAK;49 13 45;19 51 34
101;STRADOMKA;49 55 15;20 18 33
102;GNOJNIK;49 53 43;20 35 18
103;DOBCZYCE;49 52 39;20 04 14
104;JOD£OWNIK;49 46 15;20 13 29
105;JASTRZ BIA;49 47 11;20 53 47
106;W GL”WKA;49 45 01;20 04 28
107;LIMANOWA;49 41 37;20 25 06
108;P”£RZECZKI;49 39 09;20 12 54
109;RUDZICA;49 51 12;18 52 57
110;KOWARY;50 48 13;15 49 27
111;KARPACZ;50 46 44;15 46 10
112;PACZYN;50 44 23;15 54 41
113;PAPROTKI;50 43 36;15 56 53
114;BUK”WKA;50 42 46;15 57 26
115;BOR”W;50 52 56;16 59 24
116;PSZENNO;50 51 14;16 32 35
117;LUBOMIN;50 48 13;16 11 45
118;SZCZAWNO-ZDR”J;50 48 24;16 14 28
119;KAMIENNA G”RA;50 47 32;16 02 09
120;LUBACH”W;50 45 50;16 25 43
121;BOGUSZ”W-GORCE;50 44 58;16 11 24
122;DZIERØONI”W;50 44 36;16 37 27
123;WALIM;50 42 10;16 26 21
124;CHE£MSKO åL•SKIE;50 40 15;16 04 12
125;SREBRNA G”RA;50 34 38;16 39 53
126;KUDOWA-ZDR”J;50 26 17;16 13 19
127;S£OSZ”W;50 24 36;16 22 46
128;POLANICA-ZDR”J;50 25 31;16 31 06
129;O£DRZYCHOWICE K£ODZKIE;50 21 24;16 44 05
130;RYBIENKO;52 34 40;21 25 45
131;MIKO£AJKI;53 47 21;21 35 23
132;SUWA£KI;54 07 51;22 56 56
133;OPOLE;50 37 37;17 58 08
134;KRAK”W-BALICE;50 04 40;19 47 42
135;ZAKOPANE;49 17 38;19 57 37
136;GORZ”W WIELKOPOLSKI;52 44 28;15 16 38
137;KALISZ;51 46 52;18 04 51
138;KO£O-RADOSZEWICE;52 21 43;18 42 22
139;PI£A;53 07 50;16 44 50
140;POZNA—-£AWICA;52 25 00;16 50 05
141;S£UBICE;52 20 55;14 37 11
142;SZCZECINEK;53 43 04;16 44 48
143;WIELU—;51 12 37;18 33 24
144;CHOJNICE;53 42 55;17 31 57
145;KOSZALIN;54 12 16;16 09 19
146;JELENIA G”RA;50 54 01;15 47 20
147;LEGNICA;51 11 33;16 12 28
148;LESZNO;51 50 08;16 32 05
149;åNIEØKA;50 44 11;15 44 23
150;WROC£AW-STRACHOWICE;51 06 12;16 54 00
151;KRAK”W-WOLA JUSTOWSKA;50 03 50;19 53 25
152;S POLNO WIELKIE;53 56 51;16 46 25
153;OS”WKO;53 54 20;16 04 05
154;JASTROWIE;53 25 32;16 48 51
155;ZAP DOWO;53 42 15;17 50 25
156;SYPNIEWO;53 21 52;17 19 49
157;STAROGARD GDA—SKI;53 58 56;18 32 56
158;CZARNA WODA;53 50 26;18 05 34
159;åLIWICE;53 42 17;18 10 33
160;GRUDZI•DZ;53 26 15;18 42 34
161;BYDGOSZCZ;53 10 25;18 02 45
162;DOBROCIN;53 54 30;19 49 41
163;PRABUTY;53 44 22;19 12 54
164;LIDZBARK;53 15 16;19 49 27
165;SZCZYTNO;53 34 37;21 00 44
166;ROZOGI;53 29 29;21 22 46
167;MYSZYNIEC;53 23 04;21 21 01
168;ZARUZIE;53 08 51;21 48 09
169;D BOWO;53 36 38;22 55 50
170;RADZI£”W;53 24 50;22 24 19
171;BURZYN;53 16 43;22 27 15
172;TYKOCIN;53 12 16;22 46 14
173;ZAWADY;53 09 25;22 40 24
174;JAB£ONOWO-WYPYCHY;53 01 47;22 45 01
175;R”ØANYSTOK;53 38 07;23 24 05
176;JAN”W;53 27 35;23 13 46
177;JA£”WKA;53 21 14;23 20 26
178;FASTY;53 10 39;23 01 33
179;USTRO—-R”WNICA-WIEå;49 43 11;18 51 09
180;LUBO— WIELKI;49 39 12;19 59 32
181;£AZY;49 57 55;20 29 43
182;BOLK”W;50 55 30;16 05 55
183;KAMIENICA;50 13 38;16 53 03
184;£AZISKA;51 19 26;20 55 33
185;WIELGOLAS;52 02 14;21 43 26
186;KOWANIEC;49 29 27;20 02 49
187;NOWY ØMIGR”D;49 36 42;21 32 00
188;WIS£OCZEK;49 30 03;21 51 56
189;ØUBRACZE;49 12 32;22 16 18
190;NOWA PAS£ KA;54 25 34;19 44 49
191;ØABIN;54 19 17;22 02 17
192;GO£DAP;54 18 30;22 16 07
193;BANIE MAZURSKIE;54 15 06;22 01 23
194;KASPROWY WIERCH;49 13 57;19 58 55
195;NOWY S•CZ;49 37 38;20 41 19
196;KROSNO;49 42 24;21 46 09
197;LESKO;49 27 59;22 20 30
198;PRZEMYåL;49 48 15;22 46 19
199;CZ STOCHOWA;50 48 43;19 05 30
200;KATOWICE-MUCHOWIEC;50 14 26;19 01 58
201;KIELCE-SUK”W;50 48 38;20 41 32
202;TARN”W;50 01 48;20 59 02
203;SANDOMIERZ;50 41 48;21 42 57
204;RZESZ”W-JASIONKA;50 06 39;22 02 32
205;ZAMOå∆;50 41 54;23 12 20
206;SULEJ”W;51 21 12;19 51 59
207;KOZIENICE;51 33 53;21 32 37
208;W£ODAWA;51 33 12;23 31 46
209;P£OCK;52 35 18;19 43 33
210;SIEDLCE;52 10 52;22 14 41
211;SZCZECIN;53 23 43;14 37 22
212;RESKO-SM”LSKO;53 45 49;15 23 36
213;TORU—;53 02 31;18 35 44
214;M£AWA;53 06 15;20 21 40
215;OLSZTYN;53 46 07;20 25 17
216;OSTRO£ KA;53 03 57;21 32 02
217;BIA£YSTOK;53 06 26;23 09 44
218;KO£OBRZEG-DèWIRZYNO;54 09 30;15 23 20
219;USTKA;54 35 18;16 51 15
220;L BORK;54 33 11;17 45 25
221;HEL;54 36 13;18 48 43
222;K TRZYN;54 04 02;21 22 00
223;KR CIWILK;50 32 43;19 22 13
224;£AZY;50 25 51;19 23 03
225;OLEWIN;50 16 37;19 36 13
226;MACZKI;50 15 31;19 15 46
227;BARTK”W;50 58 43;20 38 59
228;BODZENTYN;50 56 49;20 57 05
229;CIS”W;50 45 31;20 54 10
230;KLISZ”W;50 36 45;20 31 29
231;MIECH”W;50 21 46;20 01 58
232;BORUSOWA;50 16 40;20 47 13
233;RADZIEMICE;50 15 12;20 13 51
234;IGO£OMIA;50 05 37;20 15 23
235;BORZ CIN;50 03 57;20 42 36
236;NOS”W;50 55 09;21 13 09
237;ANNOPOL;50 53 22;21 50 03
238;BARAN”WEK;50 46 13;21 15 19
239;SADK”W;50 44 12;21 04 38
240;JASTRZ BSKA WOLA;50 43 29;21 11 13
241;STASZ”W;50 35 42;21 11 06
242;MAJDAN KR”LEWSKI;50 22 00;21 45 07
243;WILCZA WOLA;50 20 29;21 55 55
244;MIELEC;50 16 46;21 25 58
245;KOLBUSZOWA;50 15 44;21 44 45
246;RADOMYåL WIELKI;50 11 59;21 16 11
247;ZAWADA;50 03 50;21 29 36
248;WYSOKIE;50 55 04;22 40 01
249;ZAK£ODZIE;50 45 27;22 51 41
250;FRAMPOL;50 40 30;22 39 58
251;JAROCIN;50 34 07;22 18 24
252;BRODZIAKI;50 30 24;22 47 24
253;TARNOGR”D;50 21 24;22 45 24
254;JAROS£AW;50 01 06;22 41 47
255;NIELISZ;50 48 18;23 02 19
256;J”ZEF”W;50 29 15;23 03 30
257;WIELKIE OCZY;50 01 04;23 09 30
258;STRZYØ”W;50 50 24;24 02 08
259;SOBOLICE;51 23 18;14 58 30
260;TWARDOCICE;51 05 26;15 44 51
261;SULIK”W;51 04 37;15 03 54
262;BIERNA;51 02 20;15 06 59
263;åWIERZAWA;51 00 47;15 54 10
264;OSETNO;51 37 55;16 27 51
265;POLKOWICE DOLNE;51 30 02;16 03 22
266;CHWA£KOWICE;51 26 54;16 36 47
267;OBORNIKI åL•SKIE;51 17 22;16 55 50
268;JAWOR;51 03 48;16 11 01
269;WITASZYCE;51 56 44;17 33 12
270;MILICZ;51 30 40;17 16 38
271;TRZEBNICA;51 19 22;17 04 05
272;BIERUT”W;51 07 08;17 32 41
273;NAMYS£”W;51 03 57;17 42 57
274;ZBIERSK;51 56 36;18 09 01
275;PODD BICE;51 53 08;18 57 35
276;LISK”W;51 50 07;18 24 36
277;Z£OCZEW;51 25 16;18 35 57
278;SIEMIANICE;51 10 58;18 08 35
279;PLUCICE;51 12 13;19 36 07
280;PRZEDB”RZ;51 05 26;19 52 31
281;SKIERNIEWICE;51 57 55;20 09 37
282;BIA£OBRZEGI;51 39 26;20 57 03
283;OPOCZNO;51 22 44;20 14 04
284;RUSZKOWICE;51 20 21;20 39 57
285;ORZECH”WKA;49 43 00;21 57 41
286;BARTNE;49 33 31;21 20 44
287;KREMPNA;49 30 57;21 29 22
288;PU£AWY DOLNE;49 29 24;21 54 26
289;WYSZOWADKA;49 27 14;21 25 15
290;WYSOWA;49 26 17;21 10 21
291;BARWINEK;49 25 52;21 41 05
292;JAåLISKA;49 26 24;21 48 36
293;TYLICZ;49 23 32;21 00 32
294;WIS£OK WIELKI;49 22 43;21 59 57
295;KA—CZUGA;49 59 07;22 24 26
296;DYN”W;49 50 07;22 14 06
297;BIRCZA;49 41 14;22 28 52
298;RYBOTYCZE;49 39 16;22 38 24
299;SANOK-TREPCZA;49 35 05;22 11 07
300;NOWOTANIEC;49 30 28;22 01 31
301;LESZCZOWATE;49 30 26;22 32 52
302;SOLINA-JAWOR;49 24 00;22 28 06
303;BALIGR”D-MCHAWA;49 21 14;22 17 01
304;TERKA;49 17 50;22 25 37
305;POLANA;49 18 12;22 34 36
306;LUTOWISKA;49 14 35;22 41 00
307;DWERNIK;49 13 15;22 38 02
308;KALNICA;49 11 50;22 25 27
309;STUPOSIANY;49 11 30;22 40 59
310;ROZTOKI G”RNE;49 09 12;22 24 49
311;WETLINA;49 08 41;22 28 19
312;PO£ONINA WETLI—SKA;49 09 28;22 33 06
313;TARNAWA NIØNA;49 07 29;22 47 29
314;WO£OSATE;49 03 51;22 41 09
315;WYØNIA—SKI WIERCH;49 07 19;22 35 09
316;BOGATYNIA;50 53 59;14 58 50
317;POBIEDNA;50 57 07;15 18 31
318;KACZOR”W;50 54 32;15 56 09
319;CIECHANOWICE;50 52 02;15 58 38
320;MIASTKO;54 00 56;16 58 49
321;NIEZABYSZEWO;54 08 18;17 25 24
322;KOåCIERZYNA;54 07 43;17 57 43
323;ROZEWIE;54 49 46;18 20 08
324;WEJHEROWO;54 35 54;18 16 13
325;GDYNIA;54 31 08;18 33 34
326;OSTRZYCE-BRODNICA G”RNA;54 16 28;18 05 29
327;FROMBORK;54 21 37;19 40 38
328;TOLKMICKO;54 19 31;19 31 21
329;PIERZCHA£Y;54 18 02;19 50 57
330;PAS£ K;54 04 14;19 39 34
331;BARTOSZYCE;54 14 25;20 47 52
332;BORNITY;54 11 04;20 03 03
333;KASZUNY;54 09 30;20 20 23
334;W GORZEWO;54 13 26;21 44 05
335;PRZESIEKA;50 47 56;15 40 02
336;L•DEK-ZDR”J;50 20 43;16 53 06
337;STANOWISKA;51 02 31;20 22 17
338;NAREWKA;52 52 18;23 43 41
339;SZAFLARY;49 25 31;20 01 35
340;DUKLA;49 34 01;21 40 50
341;SAKOWCZYK;49 18 53;22 26 51
342;K£ODZKO;50 26 13;16 36 51
343;OSOWIEC;53 28 57;22 38 45
344;åWINOUJåCIE;53 55 24;14 14 32
345;S DZISZ”W MA£OPOLSKI;50 04 41;21 42 13
346;JASTRZYGOWICE;51 00 04;18 27 25
347;WARSZAWA-OK CIE;52 09 46;20 57 40
348;DOBRYLAS;53 17 47;21 49 38
349;TERESPOL;52 04 43;23 37 19
350;PILICA;50 27 35;19 38 49
351;åWI TY KRZYØ;50 51 34;21 03 05
352;TOMASZ”W LUBELSKI;50 27 29;23 23 56
353;GRYF”W åL•SKI;51 01 36;15 24 34
354;OSJAK”W;51 16 59;18 47 01
355;B£ATNIA;49 44 49;18 56 33
356;STR”ØA;49 47 47;19 55 03
357;PILSKO;49 32 28;19 19 06
358;ROZDZIELE;49 47 07;20 24 58
359;JAKUSZYCE;50 49 23;15 26 31
360;MIEROSZ”W;50 39 45;16 10 33
361;STARE OLESNO;50 54 17;18 21 50
362;CHE£STY;51 12 57;20 08 55
363;CZARNOWO;52 52 55;21 32 06
364;GRYB”W;49 37 09;20 57 12
365;KRYNICA;49 24 28;20 57 39
366;KOMA—CZA;49 20 21;22 03 48
367;R BISZ”W;50 57 06;15 26 56
368;PTAKI;53 23 26;21 47 41
369;SIELEC;50 19 07;20 25 14
370;CHORZEL”W;50 20 53;21 26 39
371;FUTORY;50 11 48;23 02 47
372;WADOWICE;49 52 55;19 31 07
373;SPYTKOWICE G”RNE;49 33 52;19 45 42
374;SZKLARSKA POR BA;50 50 04;15 31 45
375;BARDO;50 30 33;16 44 39
376;K£ODAWA;52 15 03;18 54 57
377;JAWORZYNA KRYNICKA;49 25 04;20 53 43
378;IWONICZ-ZDR”J;49 34 02;21 47 18
379;SZCZAWNE;49 23 56;22 08 49
380;PILCHOWICE;50 57 46;15 38 24
381;LIDZBARK WARMI—SKI;54 08 09;20 35 10
382;RACIB”RZ;50 03 40;18 11 27
383;ZIELONA G”RA;51 55 48;15 31 29
384;BIEBRZA;53 39 02;22 34 42
385;LUBLIN-RADAWIEC;51 13 00;22 23 35
386;RYKOSZYN;50 51 56;20 24 42
387;KLIMONT”W;50 39 12;21 27 01
388;CIESZAN”W;50 14 01;23 07 05
389;LUBOMIERZ;51 00 55;15 30 10
390;MIRK”W;51 18 37;18 08 47
391;ØABNICA;49 33 43;19 11 14
392;PEWEL MA£A;49 39 39;19 18 21
393;LIPOWA;49 39 58;19 04 36
394;KAMESZNICA;49 34 12;19 03 52
395;SOBL”WKA;49 26 15;19 08 54
396;OSIELEC;49 40 44;19 44 20
397;RABA WYØNA;49 33 53;19 52 54
398;LUBIE—;49 43 15;19 58 12
399;£APAN”W;49 52 31;20 17 01
400;JAB£ONKA;49 28 20;19 41 45
401;ZBOISKA;49 34 39;21 41 45
402;TELEåNICA OSZWAROWA;49 22 49;22 31 52
403;BRZEGI DOLNE;49 26 36;22 37 16
404;PAKOå∆;52 47 58;18 05 33
405;GRYFINO;53 15 25;14 29 04
406;DREZDENKO;52 51 17;15 50 28
407;PORONIN;49 19 49;20 02 07
408;MSZANA DOLNA;49 39 49;20 03 16
409;WRONOWICE;49 44 11;20 35 26
410;£ODYGOWICE;49 43 27;19 09 37
411;POLANA CHOCHO£OWSKA;49 14 13;19 47 19
412;GNIEZNO;52 33 27;17 31 55
413;TRZEMEåNIA;49 48 45;20 00 46
414;JEDLINA-ZDR”J;50 43 07;16 20 57
415;WRZEåNIA;52 18 54;17 35 33
416;JASION”W;49 35 23;20 01 33
417;TUCH”W;49 54 14;21 02 54
418;CISNA;49 12 46;22 19 52
419;JEMIO£OWO;53 33 42;20 17 58
420;£”Dè-LUBLINEK;51 43 06;19 23 14
421;PIWO—;50 28 59;19 15 04
422;RAK”W;50 40 18;21 02 55
423;TOMASZ”W BOLES£AWIECKI;51 16 35;15 40 39
424;BIELSKO-BIA£A;49 48 24;19 00 08
425;£EBA;54 45 13;17 32 05
426;TRZEBIEØ;53 39 47;14 30 50
427;ØAGA—;51 38 59;15 17 37
428;STARA KAMIENICA;50 55 01;15 34 27
429;åWIERAD”W-ZDR”J;50 53 54;15 21 31
430;BRYNICA;50 28 18;18 59 56
431;JAWISZOWICE;49 57 35;19 08 31
432;WITNO;53 56 40;15 03 47
433;W•SOSZ;50 44 15;19 41 09
434;GOR CZYNO;54 15 43;18 09 45
435;NOWY JASINIEC;53 20 54;18 02 14
436;R”ØKI-D BIE;53 53 28;17 08 53
437;JEØYCZKI;54 20 05;16 23 26
438;SIERAKOWO;54 12 59;16 30 59
439;GRZMI•CA;53 50 09;16 26 21
440;POLAN”W;54 07 07;16 40 59
441;LGOTA G”RNA;50 36 03;19 14 07
442;RADOSTOWO;53 59 22;18 44 50
443;S£UPSK;54 27 48;17 02 08
444;OSTROWITE;53 25 12;19 16 27
445;PSZCZYNA;49 59 44;18 55 09
446;BOROWICE;50 47 21;15 41 35
447;PODG”RZYN;50 49 32;15 41 15
448;HAJN”WKA;52 43 57;23 33 37
449;KO£UDA WIELKA;52 44 09;18 08 56
450;K”RNIK;52 14 43;17 06 07
451;KRZYØ;52 52 52;15 59 01
452;PAPRO∆;52 18 16;16 10 59
453;WIELICHOWO;52 06 50;16 21 23
454;SUPRAåL;53 12 39;23 19 57
455;GUBA£”WKA;49 18 20;19 55 47
456;RATU£”W;49 23 30;19 53 03
457;WADOWICE;49 52 38;19 30 40
458;SZAFLARY;49 26 02;20 01 32
459;KREMPNA;49 30 59;21 29 03
460;PIWO—;50 29 04;19 14 42
461;JAROS£AW;50 01 16;22 42 09
462;D£UGOPOLE-ZDR”J;50 14 59;16 38 00
463;GDA—SK-åWIBNO;54 20 01;18 56 04
464;NOWOSI”£KI;53 10 30;23 31 35
465;STRACONKA;49 47 38;19 06 26
466;SZAMOTU£Y-BABOR”WKO;52 35 04;16 38 17
467;WAPIENICA;49 46 25;18 58 24
468;SUKOWICE;50 15 46;18 10 11
469;KONIECZNO;50 47 37;20 02 01
470;CHRZ•STOWO;53 09 40;17 35 01
471;DOBRYSZYCE;51 08 51;19 24 30
472;TRZCI—SKO-ZDR”J;52 57 52;14 35 17
473;G£OG”W;51 40 21;16 03 36
474;åWIERZAWA;51 01 01;15 53 20
475;D•BR”WKA STARA;51 46 49;20 44 13
476;Z£OTNIKI LUBA—SKIE;51 00 50;15 20 26
477;OSTROSZOWICE;50 38 39;16 38 09
478;MO—KI;53 24 01;22 47 47
479;SZALEJ”W G”RNY;50 25 50;16 33 09
480;OLECKO;54 02 51;22 29 13
481;BIELINY PODUCHOWNE;50 50 58;20 57 32
482;MORSKIE OKO;49 12 04;20 04 17
483;RYCERKA G”RNA;49 25 33;19 00 29
484;SOBL”WKA;49 27 24;19 08 43
485;åLEMIE—;49 42 57;19 22 28
486;DAR£OWO;54 25 60;16 22 06
487;BIERU— STARY;50 05 03;19 05 41
488;JARCZEW;51 48 53;21 58 24
489;GDA—SK-PORT P”£NOCNY;54 23 59;18 41 52
490;SIERCZA;49 58 21;20 02 02
491;KOSZARAWA;49 40 20;19 24 50
492;KOåCIELISKO-KIRY;49 16 40;19 52 15
493;RAJCZA;49 30 29;19 06 55
494;LUBINICKO-åWIEBODZIN;52 14 34;15 32 43
495;WALEWICE;52 06 10;19 39 56
496;DRAHLE;53 23 08;23 33 18
497;DRAWNO;53 12 47;15 46 12
498;DZIA£OSZYN;51 07 12;18 52 26
499;KIE£CZYG£”W;51 14 14;18 59 06
500;KRASZEWICE;51 31 49;18 12 17
501;NOWA WIEå PODG”RNA;52 08 32;17 35 21
502;OSTR”W WIELKOPOLSKI;51 39 39;17 52 24
503;SZCZERC”W;51 20 27;19 07 09
504;TULISZK”W;52 04 04;18 16 07
505;MIRSK;50 59 13;15 23 00
506;PRZELEWICE;53 06 15;15 04 56
507;S£UPCA;52 16 19;17 53 00
508;TARN”W;50 34 31;16 47 34
509;ELBL•G;54 09 43;19 25 53
510;J DRZEJ”WKA;50 19 47;23 20 34
511;KULIGI;53 25 51;19 41 28
512;KALWARIA ZEBRZYDOWSKA;49 52 12;19 41 07
513;WIERZCHOWO;53 27 36;16 06 16
514;PU£AWY;51 24 46;21 57 58
515;ZAMOSZE;52 48 55;23 54 46
516;RADZY—;51 52 21;16 02 16
517;NOWA S£UPIA;50 51 51;21 05 00
518;MARIANOWO II;53 12 43;22 06 21
519;£ASK;51 35 08;19 10 43
520;RADOSZEWICE;52 21 43;18 42 22
521;ISTEBNA-WIEå;49 34 08;18 53 32
522;BEZEK;51 10 38;23 15 49
523;TYSZKI-W•DO£OWO;53 26 52;21 59 03
524;JAROSTY;51 27 45;19 41 31
525;ROGITY;54 23 21;19 51 41
526;TYCHY;50 07 55;19 00 04
527;PIWNICZNA;49 25 30;20 43 23
528;D•BROWA TARNOWSKA;50 11 10;20 59 28
529;KARØNICZKA;54 29 15;17 13 43
530;LEGIONOWO;52 24 28;20 57 22
531;G£ODOWO;52 49 50;19 14 08
532;CICIB”R;52 04 37;23 06 34
533;BRENNA-LEåNICA;49 42 36;18 54 11
534;£AB DY;50 20 31;18 36 55
535;GDA—SK-R BIECHOWO;54 22 16;18 29 12
536;DRONIOWICE;50 41 43;18 48 29
537;SIERADZ-DZIGORZEW;51 37 27;18 42 17
538;RADZIECHOWY;49 38 55;19 09 20
539;RUDZICA;49 51 14;18 52 51
540;ISTEBNA-STEC”WKA;49 35 05;18 56 16
541;NOWY TARG-KOWANIEC;49 29 11;20 03 18
542;SANICE;51 24 24;14 58 32
543;WOLA KSI•Ø CA;51 57 41;17 35 21
544;WARSZAWA-BIELANY;52 16 53;20 57 48
545;NAREW;52 55 00;23 31 22
546;NAREWKA;52 51 49;23 43 30
547;DOBRYLAS;53 17 07;21 51 53
548;PTAKI;53 23 35;21 47 30
549;åWI TAJNO;53 33 49;21 13 41
550;CIESZYN;49 46 30;18 36 33
551;STRONIE åL•SKIE;50 18 09;16 51 58
552;BONOWICE;50 37 16;19 47 37
553;HALA G•SIENICOWA;49 14 38;20 00 21
554;WROC£AW;51 06 49;16 52 54
555;BABIMOST;52 08 37;15 48 12
556;GOLENI”W;53 35 38;14 53 18
557;LIPNICA WIELKA;49 32 16;19 32 43
558;STANKOWICE;51 01 00;15 18 49
559;åWIERAD”W-ZDR”J II;50 54 21;15 19 32
560;GNIEZNO II;52 31 25;17 37 49
561;SREBRNA G”RA II;50 34 51;16 40 06
562;SIERADZ;51 35 35;18 41 14
563;NOWE MASIEWO;52 50 02;23 53 50
564;ROGOWO;52 43 57;17 38 36
565;B•GART;53 59 30;19 23 04
566;PRUSZCZ;53 26 47;17 49 32
567;BIA£OGARD;54 00 15;15 58 30
568;LUBSTYN;53 31 39;19 50 44
569;S£AWNO;54 21 06;16 40 13
570;KMIECIN;54 11 16;19 09 50
571;BE£CHAT”W;51 22 47;19 23 49
572;BUKOWINA;17 50 36;162
573;KOPASZEWO;16 49 05;91
574;S£ONOWICE;15 43 05;105
575;RADZY—-FIJEWO;18 56 49;104
576;TUROWO;21 54 06;141
577;BUKOWIEC;22 24 49;435
578;SITOWIEC;17 45 15;134
579;MESZNO;17 08 27;212
580;WICEWO;16 07 25;49
